Z,A,Mass_Excess_MeV
0,1,8.071318
1,1,7.288971
1,2,13.135723
1,3,14.949811
2,3,14.931219
3,3,28.667000
1,4,24.621129
2,4,2.424916
3,4,25.323190
1,5,32.892447
2,5,11.231234
3,5,11.678887
4,5,37.139000
1,6,41.875725
2,6,17.592095
3,6,14.086880
4,6,18.375034
5,6,47.320000
1,7,49.135000
2,7,26.073128
3,7,14.907105
4,7,15.768998
5,7,27.676553
2,8,31.609683
3,8,20.945805
4,8,4.941672
5,8,22.921569
6,8,35.064269
2,9,40.935826
3,9,24.954905
4,9,11.348451
5,9,12.416486
6,9,28.910971
2,10,49.197147
3,10,33.052628
4,10,12.607487
5,10,12.050611
6,10,15.698673
7,10,38.800027
3,11,40.728259
4,11,20.177169
5,11,8.667708
6,11,10.649397
7,11,24.365644
8,11,47.738913
3,12,49.009577
4,12,25.077761
5,12,13.369398
6,12,0.000000
7,12,17.338068
8,12,32.013335
3,13,56.980895
4,13,33.659080
5,13,16.561948
6,13,3.125009
7,13,5.345481
8,13,23.115432
9,13,42.030000
4,14,39.954502
5,14,23.663686
6,14,3.019893
7,14,2.863417
8,14,8.007781
9,14,31.964403
4,15,49.825821
5,15,28.957379
6,15,9.873145
7,15,0.101438
8,15,2.855622
9,15,16.566752
10,15,40.215374
4,16,57.447139
5,16,37.111699
6,16,13.694133
7,16,5.683907
8,16,-4.737002
9,16,10.675182
10,16,23.986775
5,17,43.716322
6,17,21.031880
7,17,7.870079
8,17,-0.808764
9,17,1.951701
10,17,16.500452
11,17,34.719580
5,18,51.792640
6,18,24.919266
7,18,13.113167
8,18,-0.782816
9,18,0.873112
10,18,5.317617
11,18,25.037992
5,19,59.770251
6,19,32.413754
7,19,15.856255
8,19,3.332858
9,19,-1.487445
10,19,1.752054
11,19,12.929384
12,19,31.838394
5,20,69.401569
6,20,37.503567
7,20,21.766498
8,20,3.796172
9,20,-0.017463
10,20,-7.041932
11,20,6.850489
12,20,17.477694
5,21,78.382887
6,21,45.643000
7,21,25.231915
8,21,8.062034
9,21,-0.047605
10,21,-5.731776
11,21,-2.184857
12,21,10.903851
13,21,27.090000
6,22,53.611203
7,22,31.764805
8,22,9.283032
9,22,2.793376
10,22,-8.024716
11,22,-5.181391
12,22,-0.399986
13,22,18.201000
14,22,33.640000
6,23,64.171000
7,23,36.720429
8,23,14.621371
9,23,3.285263
10,23,-5.154045
11,23,-9.529854
12,23,-5.473675
13,23,6.748071
14,23,23.950000
7,24,46.938000
8,24,18.500404
9,24,7.544516
10,24,-5.951642
11,24,-8.417901
12,24,-13.933578
13,24,-0.048812
14,24,10.745186
15,24,34.020000
7,25,55.983000
8,25,27.329030
9,25,11.334167
